<SIL>	SIL
MUD	M AH D
MUDBANK	M AH D B AE NG K
MUDBANKS	M AH D B AE NG K S
MUDDER	M AH D ER
MUDDIER	M AH D IY ER
MUDDLE	M AH D AH L
MUDDLED	M AH D AH L D
MUDDY	M AH D IY
MUDGE	M AH JH
MUDS	M AH D Z
MUFF	M AH F
MUFFIN	M AH F AH N
MUFFINS	M AH F AH N Z
MUFFLED	M AH F AH L D
MUFFLER	M AH F L ER
MUFTI	M AH F T IY
MUG	M AH G
MUGEN	M AH G AH N
MUGS	M AH G Z
MUIR	M Y UH R
MULATTER	M Y UW L AE T AH R
MULATTO	M AH L AA T OW
MULE	M Y UW L
MULES	M Y UW L Z
MULGARRY	M UH L G AA R IY
MULLET	M AH L AH T
MULLINS	M AH L IH N Z
MULLINS'S	M AH L IH N Z IX Z
MULLOWNY	M AH L OW N IY
MULTI	M AH L T IY
MULTICOLOR	M AH L T IY K AH L ER
MULTIFARIOUSNESS	M AH L T AY F EH R IY AH S N AH S
MULTIFORM	M AH L T AY F AO R M
MULTIPLE	M AH L T AH P AH L
MULTIPLICATION	M AH L T AH P L AH K EY SH AH N
MULTIPLICITY	M AH L T AH P L IH S IH T IY
MULTIPLIED	M AH L T AH P L AY D
MULTIPLIES	M AH L T AH P L AY Z
MULTIPLY	M AH L T AH P L AY
MULTIPLYING	M AH L T AH P L AY IH NG
MULTITUDE	M AH L T AH T UW D
MULTITUDE(2)	M AH L T AH T Y UW D
MULTITUDES	M AH L T AH T Y UW D Z
MULTITUDINOUS	M AH L T AH T UW D AH N AH S
MULTITUDO	M AH L T AH T Y UW D OW
MUMBLED	M AH M B AH L D
MUMMER	M AH M ER
MUMMERY	M AH M AH R IY
MUMMIES	M AH M IY Z
MUMMY	M AH M IY
MUMPS	M AH M P S
MUNCHING	M AH N CH IH NG
MUNDANE	M AH N D EY N
MUNEMORI	M Y UW N EH M AH R IY
MUNGER	M AH NG ER
MUNICIPAL	M Y UW N IH S AH P AH L
MUNIFICENCE	M Y UW N AH F IH S AH N S
MUNIFICENT	M Y UW N AH F IH S AH N T
MUNIFICENTLY	M Y UW N IH F AH S EH N T L IY
MUNITIONS	M Y UW N IH SH AH N Z
MUNSON	M AH N S AH N
MURAL	M Y UH R AH L
MURCHISON	M ER CH IH S AH N
MURDER	M ER D ER
MURDERED	M ER D ER D
MURDERER	M ER D ER ER
MURDERER'S	M ER D ER ER Z
MURDERERS	M ER D ER ER Z
MURDERESS	M ER D ER AH S
MURDERING	M ER D ER IH NG
MURDEROUS	M ER D ER AH S
MURDERS	M ER D ER Z
MURKY	M ER K IY
MURMUR	M ER M ER
MURMURED	M ER M ER D
MURMURING	M ER M ER IH NG
MURMURS	M ER M ER Z
MURPHY	M ER F IY
MURPHY'S	M ER F IY Z
MURRAIN	M AH R EY N
MURRAY	M ER IY
MURRAY(2)	M AH R IY
MURRY	M ER IY
MURRY'S	M ER IY Z
MUS	M AH Z
MUS'SUL	M AH S AH L
MUSCATEL	M AH S AH T AH L
MUSCLE	M AH S AH L
MUSCLES	M AH S AH L Z
MUSCOVADO	M AH S AA V AH D OW
MUSCULAR	M AH S K Y AH L ER
MUSE	M Y UW Z
MUSED	M Y UW Z D
MUSES	M Y UW Z AH Z
MUSES(2)	M Y UW Z IH Z
MUSEUM	M Y UW Z IY AH M
MUSEUMS	M Y UW Z IY AH M Z
MUSHA	M Y UW SH AH
MUSHA(2)	M UW SH AH
MUSHROOM	M AH SH R UW M
MUSHROOMS	M AH SH R UW M Z
MUSHY	M AH SH IY
MUSIC	M Y UW Z IH K
MUSICAL	M Y UW Z IH K AH L
MUSICIAN	M Y UW Z IH SH AH N
MUSICIANS	M Y UW Z IH SH AH N Z
MUSICK	M Y UW S IH K
MUSING	M Y UW Z IH NG
MUSINGLY	M Y UW Z IH NG L IY
MUSINGS	M Y UW Z IH NG Z
MUSK	M AH S K
MUSKET	M AH S K AH T
MUSKETEER	M AH S K AH T IY R
MUSKETEERS	M AH S K AH T IY R Z
MUSKETOON	M AH S AH T UW N
MUSKETRY	M AH S K AH T R IY
MUSKETS	M AH S K AH T S
MUSKI	M AH S IY
MUSKRAT	M AH S K R AE T
MUSKRAT'S	M AH S K R AE TS
MUSKRATS	M AH S K R AE T Z
MUSLIN	M AH Z L AH N
MUSO	M Y UW S OW
MUSSEL	M AH S AH L
MUSSELS	M AH S AH L Z
MUSSIFUL	M AH S AH F AH L
MUSSULMAN	M AH S AH L M AH N
MUST	M AH S T
MUSTACHE	M AH S T AE SH
MUSTACHIOS	M AH S T AE SH IY OW Z
MUSTANGER	M AH S T AE NG ER
MUSTARD	M AH S T ER D
MUSTER	M AH S T ER
MUSTERED	M AH S T ER D
MUSTERING	M AH S T ER IH NG
MUSTN'T	M AH S AH N T
MUSTY	M AH S T IY
MUTABILITY	M Y UW T AH B IH L AH T EH
MUTABLE	M Y UW T AH B AH L
MUTE	M Y UW T
MUTELY	M Y UW T L IY
MUTES	M Y UW T S
MUTILATED	M Y UW T AH L EY T AH D
MUTILATED(2)	M Y UW T AH L EY T IH D
MUTILATION	M Y UW T AH L EY SH AH N
MUTINEERS	M Y UW T IH N IH R Z
MUTINOUS	M Y UW T AH N AH S
MUTINY	M Y UW T AH N IY
MUTTER	M AH T ER
MUTTERED	M AH T ER D
MUTTERING	M AH T ER IH NG
MUTTERINGS	M AH T ER IH NG Z
MUTTON	M AH T AH N
MUTUAL	M Y UW CH UW AH L
MUTUALITY	M Y UW CH UW AE L IH T IY
MUTUALLY	M Y UW CH UW AH L IY
MUZZLE	M AH Z AH L
MUZZLES	M AH Z AH L Z
MY	M AY
MYER	M AY ER
MYERS	M AY ER Z
MYLES	M AY L Z
MYLES'S	M AY L Z IX Z
MYRA	M AY R AH
MYRIAD	M IH R IY AH D
MYRIADS	M IH R IY AH D Z
MYRTLE	M ER T AH L
MYSELF	M AY S EH L F
MYSTERIES	M IH S T ER IY Z
MYSTERIOUS	M IH S T IH R IY AH S
MYSTERIOUSLY	M IH S T IH R IY AH S L IY
MYSTERIOUSLY(2)	M IH S T IH R Y AH S L IY
MYSTERY	M IH S T ER IY
MYSTIC	M IH S T IH K
MYSTICAL	M IH S T IH K AH L
MYSTICALLY	M IH S T IH K AH L IY
MYSTICS	M IH S T IH K S
MYSTIFIC	M IH S T IH F AH K
MYSTIFICATION	M IH S T AH F AH K EY SH AH N
MYSTIFIED	M IH S T AH F AY D
MYSTIFIER	M IH S T AH F AY ER
MYSTIFY	M IH S T AH F AY
MYTH	M IH TH
MYTHOLOGICAL	M IH TH AH L AA JH IH K AH L
MYTHOLOGY	M AH TH AA L AH JH IY
MYTISHCHI	M AH T IH SH IY
N	EH N
N'T	EH N T
NA	N AA
NAAS	N AA Z
NAB	N AE B
NABBED	N AE B D
NABOB	N AE B AA B
NABUCHODONOSOR	N AE B AH CH AH D AA N AH Z AH R
NACKERSON	N AE K AH R S AH N
NADAB	N AE D AH B
NAE	N IY
NAG	N AE G
NAGGING	N AE G IH NG
NAGS	N AE G Z
NAIADS	N EY AH D Z
NAIL	N EY L
NAILED	N EY L D
NAILLESS	N EY L AH S
NAILS	N EY L Z
NAIRI	N AE AH R IY
NAIVE	N AY IY V
NAIVETE	N AA IY V AH T EY
NAIVETES	N AA IY V AH T EY Z
NAKED	N EY K AH D
NAME	N EY M
NAME'S	N EY M Z
NAMED	N EY M D
NAMELESS	N EY M L AH S
NAMELY	N EY M L IY
NAMES	N EY M Z
NAMESAKE	N EY M S EY K
NAMING	N EY M IH NG
NAN	N AE N
NANA	N AE N AH
NANCY	N AE N S IY
NANINE	N AH N AY N
NANSEN	N AE N Z AH N
NANTASKET	N AE N T AE S AH T
NAP	N AE P
NAPE	N EY P
NAPKIN	N AE P K IH N
NAPLES	N EY P AH L Z
NAPOLEON	N AH P OW L IY AH N
NAPOLEON'S	N AH P OW L IY AH N Z
NAPOLEON(2)	N AH P OW L Y AH N
NAPOLEONIC	N AH P OW L IY AA N IH K
NARBONNAIS	N AA R B AA N EY AH S
NARI	N AE R IY
NARRAGANSETT	N EH R AH G AE N S AH T
NARRATE	N EH R EY T
NARRATED	N EH R EY T IH D
NARRATING	N AE R EY T IH NG
NARRATION	N EH R EY SH AH N
NARRATIONS	N AE R EY SH AH N Z
NARRATIVE	N AE R AH T IH V
NARRATIVE(2)	N EH R AH T IH V
NARRATIVES	N AE R AH T IH V Z
NARRATIVES(2)	N EH R AH T IH V Z
NARRATOR	N EH R EY T ER
NARROW	N EH R OW
NARROW(2)	N AE R OW
NARROWED	N EH R OW D
NARROWER	N EH R OW ER
NARROWEST	N EH R OW AH S T
NARROWING	N EH R OW IH NG
NARROWLY	N EH R OW L IY
NARROWNESS	N EH R OW N AH S
NARROWS	N EH R OW Z
NARSES	N AA R S AH Z
NARWHALE	N AA R W HH EY L
NARWHALE'S	N AA R W HH EY L AH Z
NARY	N EH R IY
NASH	N AE SH
NASMYTH	N AE Z M AH TH
NASSAU	N AE S AO
NASTY	N AE S T IY
NAT	N AE T
NAT'S	N AE TS
NATALIE	N AE T AH L IY
NATASHA	N AH T AA SH AH
NATASHA'S	N AH T AA SH AH Z
NATASHA'S(2)	N AH T AE SH AH Z
NATASHA(2)	N AH T AE SH AH
NATCHESS	N AE CH AH S
NATCHEZ	N AE CH EH Z
NATHAN	N EY TH AH N
NATHAN'S	N EY TH AH N Z
NATHANIEL	N AH TH AE N Y AH L
NATION	N EY SH AH N
NATION'S	N EY SH AH N Z
NATIONAL	N AE SH AH N AH L
NATIONAL(2)	N AE SH N AH L
NATIONALIST	N AE SH AH N AH L AH S T
NATIONALIST(2)	N AE SH AH N AH L IH S T
NATIONALIST(3)	N AE SH N AH L AH S T
NATIONALIST(4)	N AE SH N AH L IH S T
NATIONALITIES	N AE SH AH N AE L IH T IY Z
NATIONALITY	N AE SH AH N AE L AH T IY
NATIONALITY(2)	N AE SH AH N AE L IH T IY
NATIONALIZING	N AE SH AH N AH L AY Z IH NG
NATIONALIZING(2)	N AE SH N AH L AY Z IH NG
NATIONALLY	N AE SH AH N AH L IY
NATIONALLY(2)	N AE SH N AH L IY
NATIONS	N EY SH AH N Z
NATIVE	N EY T IH V
NATIVES	N EY T IH V Z
NATIVITY	N AH T IH V AH T IY
NATSIR	N AE T S AH R
NATTY	N AE T IY
NATUR	N AE T AH R
NATURA	N AE T Y AH R AH
NATURAL	N AE CH ER AH L
NATURAL(2)	N AE CH R AH L
NATURALIST	N AE CH ER AH L AH S T
NATURALIST(2)	N AE CH R AH L AH S T
NATURALISTIC	N AE CH ER AH L IH S T IH K
NATURALISTIC(2)	N AE CH R AH L IH S T IH K
NATURALISTS	N AE CH ER AH L IH S T S
NATURALISTS(2)	N AE CH R AH L IH S T S
NATURALISTS(3)	N AE CH ER AH L IH S
NATURALISTS(4)	N AE CH R AH L IH S
NATURALLY	N AE CH ER AH L IY
NATURALLY(2)	N AE CH R AH L IY
NATURE	N EY CH ER
NATURE'S	N EY CH ER Z
NATURED	N EY CH ER D
NATUREDLY	N EY CH ER D L IY
NATURES	N EY CH ER Z
NAUGATUCK	N AO G AH T AH K
NAUGHT	N AO T
NAUGHTIEST	N AO T IY AH S T
NAUGHTY	N AO T IY
NAUPLIUS	N AO P L AY AH S
NAUSEA	N AO Z IY AH
NAUSEATING	N AO ZH IY EY T IH NG
NAUSEOUS	N AO SH AH S
NAUTICAL	N AO T AH K AH L
NAUTILUS	N AO T AH L AH S
NAUTILUS'S	N AO T AH L AH S IH Z
NAVAL	N EY V AH L
NAVIES	N EY V IY Z
NAVIGABLE	N AE V AH G AH B AH L
NAVIGATE	N AE V AH G EY T
NAVIGATED	N AE V AH G EY T IH D
NAVIGATION	N AE V AH G EY SH AH N
NAVIGATOR	N AE V AH G EY T ER
NAVIGATORS	N AE V AH G EY T ER Z
NAVY	N EY V IY
NAW	N AA
NAY	N EY
NAZARETH	N AE Z AH R IH TH
NAZORAERU	N AE Z AH R IY R UW
NE'ER	N EH R
NEAL	N IY L
NEANDER	N IY N D AH R
NEAPOLITAN	N IY AH P AA L AH T AH N
NEAR	N IH R
NEARBY	N IH R B AY
NEARED	N IH R D
NEARER	N IH R ER
NEAREST	N IH R AH S T
NEARING	N IH R IH NG
NEARLY	N IH R L IY
NEAT	N IY T
NEATLY	N IY T L IY
NEATNESS	N IY T N AH S
NEB'S	N EH B Z
NEBRASKA	N AH B R AE S K AH
NEBULOUS	N EH B Y AH L AH S
NECESSARIES	N EH S AH S EH R IY Z
NECESSARILY	N EH S AH S EH R AH L IY
NECESSARY	N EH S AH S EH R IY
NECESSITATE	N AH S EH S AH T EY T
NECESSITATED	N AH S EH S AH T EY T AH D
NECESSITATES	N AH S EH S AH T EY T S
NECESSITATING	N AH S EH S IH T EY T IH NG
NECESSITIES	N AH S EH S IH T IY Z
NECESSITOUS	N IH S EH S AH T AH S
NECESSITY	N AH S EH S AH T IY
NECESSITY'S	N AH S EH S AH T IY Z
NECESSITY(2)	N AH S EH S IH T IY
NECK	N EH K
NECK'S	N EH K S
NECKCLOTH	N EH K L AO TH
NECKED	N EH K T
NECKER	N EH K ER
NECKLACE	N EH K L AH S
NECKLACES	N EH K L AH S IH Z
NECKS	N EH K S
NECKTIE	N EH K T AY
NECROMANCER	N EH K R AH M AE N S ER
NECTAR	N EH K T ER
NECTAREOUS	N EH K T AE R IY AH S
NED	N EH D
NED'S	N EH D Z
NEDERLANDS	N AH D AH R L AH N D Z
NEE	N IY
NEED	N IY D
NEEDED	N IY D AH D
NEEDED(2)	N IY D IH D
NEEDFUL	N IY D F AH L
NEEDING	N IY D IH NG
NEEDLE	N IY D AH L
NEEDLER	N IY D AH L ER
NEEDLER(2)	N IY D L ER
NEEDLES	N IY D AH L Z
NEEDLESS	N IY D L AH S
NEEDLESSLY	N IY D L AH S L IY
NEEDLEWORK	N IY D AH L W ER K
NEEDN'T	N IY D AH N T
NEEDS	N IY D Z
NEEDY	N IY D IY
NEERE	N IH R
NEERSPEEKEN	N IH R S IY K AH N
NEET	N IY T
NEFARIOUS	N AH F EH R IY AH S
NEGATE	N IH G EY T
NEGATES	N IH G EY T S
NEGATION	N AH G EY SH AH N
NEGATIVE	N EH G AH T IH V
NEGLECT	N AH G L EH K T
NEGLECT(2)	N IH G L EH K T
NEGLECTED	N AH G L EH K T AH D
NEGLECTED(2)	N IH G L EH K T IH D
NEGLECTEST	N IH G L EH K T AH S T
NEGLECTING	N IH G L EH K T IH NG
NEGLECTS	N IH G L EH K T S
NEGLIGIBLE	N EH G L AH JH AH B AH L
NEGLIGIBLE(2)	N EH G L IH JH AH B AH L
NEGOTIATE	N AH G OW SH IY EY T
NEGOTIATE(2)	N IH G OW SH IY EY T
NEGOTIATED	N AH G OW SH IY EY T AH D
NEGOTIATED(2)	N IH G OW SH IY EY T IH D
NEGOTIATION	N IH G OW SH IY EY SH AH N
NEGOTIATIONS	N AH G OW SH IY EY SH AH N Z
NEGOTIATIONS(2)	N IH G OW SH IY EY SH AH N Z
NEGOTIATORS	N IH G OW SH IY EY T ER Z
NEGRO	N IY G R OW
NEGRO'S	N IY G R OW Z
NEGROES	N IY G R OW Z
NEIGHBOR	N EY B ER
NEIGHBOR'S	N EY B ER Z
NEIGHBORHOOD	N EY B ER HH UH D
NEIGHBORING	N EY B ER IH NG
NEIGHBORLINESS	N EY B ER L IY N AH S
NEIGHBORLY	N EY B ER L IY
NEIGHBORS	N EY B ER Z
NEIGHBOUR	N EY B ER
NEIGHBOUR'S	N EY B ER Z
NEIGHBOURHOOD	N EY B ER HH UH D
NEIGHBOURHOODS	N EY B ER HH UH D Z
NEIGHBOURING	N EY B ER IH NG
NEIGHBOURS	N EY B ER Z
NEILL	N IY L
NEILSON	N IY L S AH N
NEITHER	N IY DH ER
NEITHER(2)	N AY DH ER
NELL	N EH L
NELLIE	N EH L IY
NELLY	N EH L IY
NELSON	N EH L S AH N
NEMO	N EH M OW
NEMO'S	N EH M OW Z
NEMORIN	N EH M AH R AH N
NEPHEW	N EH F Y UW
NEPHEW'S	N EH F Y UW Z
NEPHEWS	N EH F Y UW Z
NEPONSET	N AH P AA N S IH T
NEREID	N IY R IY D
NERLI	N AH R L IY
NERO	N IH R OW
NERVE	N ER V
NERVELESS	N ER V L AH S
NERVES	N ER V Z
NERVOUS	N ER V AH S
NERVOUSLY	N ER V AH S L IY
NERVOUSNESS	N ER V AH S N AH S
NESBIT	N EH S B IH T
NEST	N EH S T
NESTED	N EH S T AH D
NESTED(2)	N EH S T IH D
NESTING	N EH S T IH NG
NESTLED	N EH S AH L D
NESTLIKE	N EH S T L AY K
NESTLING	N EH S T L IH NG
NESTLING(2)	N EH S L IH NG
NESTOR	N EH S T ER
NESTS	N EH S T S
NET	N EH T
NETCHELLI	N AH CH EH L IY
NETHER	N EH DH ER
NETHERFIELD	N EH DH ER F IY L D
NETHERLANDERS	N EH DH ER L AE N D ER Z
NETHERLANDS	N EH DH ER L AH N D Z
NETLEY'S	N EH T L EY Z
NETS	N EH T S
NETTED	N EH T IH D
NETTING	N EH T IH NG
NETTLE	N EH T AH L
NETTLED	N EH T AH L D
NETTLES	N EH T AH L Z
NETTLESOME	N EH T AH L S AH M
NETWORK	N EH T W ER K
NEUCHATEL	N Y UW CH AH T AH L
NEUFCHATEL	N Y UW F AH T AH L
NEUKLUK	N Y UW K L AH K
NEURASTHENIC	N UH R AH S TH EH N IH K
NEUROLOGICAL	N UH R AH L AA JH IH K AH L
NEUROLOGIST	N UH R AA L AH JH AH S T
NEUROLOGY	N UH R AA L AH JH IY
NEUROPATHIC	N Y UH R AH P AH TH AH K
NEUTRAL	N UW T R AH L
NEUTRALITY	N UW T R AE L AH T IY
NEUTRALIZE	N UW T R AH L AY Z
NEVADA	N AH V AA D AH
NEVADA(2)	N AH V AE D AH
NEVER	N EH V ER
NEVERLAND	N EH V ER L AE N D
NEVERLAND(2)	N EH V ER L AH N D
NEVERMORE	N EH V ER M AO R
NEVERTHELESS	N EH V ER DH AH L EH S
NEW	N UW
NEW(2)	N Y UW
NEWBERRY	N UW B EH R IY
NEWBORN	N UW B AO R N
NEWBRIDGE	N UW B R IH JH
NEWBURY	N UW B EH R IY
NEWCASSEL	N Y UW K AE S AH L
NEWCASTLE	N UW K AE S AH L
NEWCOMB	N UW K AH M
NEWCOMER	N UW K AH M ER
NEWDORF	N Y UW D AH R F
NEWER	N UW ER
NEWEST	N UW AH S T
NEWFOUNDLAND	N UW F AH N D L AH N D
NEWLY	N UW L IY
NEWNESS	N UW N AH S
NEWPORT	N UW P AO R T
NEWS	N UW Z
NEWS(2)	N Y UW Z
NEWSBOY	N UW Z B OY
NEWSBOYS	N UW Z B OY Z
NEWSPACKET	N UW Z P AE K AH T
NEWSPAPER	N UW Z P EY P ER
NEWSPAPERMEN	N UW Z P AE P ER M AH N
NEWSPAPERS	N UW Z P EY P ER Z
NEWTONIAN	N UW T OW N IY AH N
NEX	N EH K S
NEXT	N EH K S T
NEXT(2)	N EH K S
NEXUS	N EH K S AH S
NEZ	N EH Z
NI	N IY
NIAGARA	N AY AE G R AH
NIB	N IH B
NIBBLE	N IH B AH L
NIBBLED	N IH B AH L D
NIBBLING	N IH B AH L IH NG
NIBBLING(2)	N IH B L IH NG
NIBLO'S	N IH B L AH Z
NIBS	N IH B Z
NICE	N AY S
NICE(2)	N IY S
NICELY	N AY S L IY
NICER	N AY S ER
NICEST	N AY S IH S T
NICETIES	N AY S IH T IY Z
NICETY	N AY S IH T IY
NICHES	N IH SH IH Z
NICHES(2)	N IH CH IH Z
NICHOLAS	N IH K AH L AH S
NICHOLAS(2)	N IH K L AH S
NICHOLL	N IH K AH L
NICHOLL'S	N IH K AH L Z
NICK	N IH K
NICKEL	N IH K AH L
NICKLE	N IH K AH L
NICKNAME	N IH K N EY M
NICOLAS	N IH K AO L AH S
NICOTINE	N IH K AH T IY N
NIECE	N IY S
NIECE'S	N IY S IH Z
NIECES	N IY S IH Z
NIEF	N IY F
NIETZSCHE	N IY CH IY
NIEUW	N Y UW W
NIEUWPOORT	N Y UW W P AH R T
NIGGER	N IH G ER
NIGGER'S	N IH G ER Z
NIGGERS	N IH G ER Z
NIGH	N AY
NIGHT	N AY T
NIGHT'	N AY T
NIGHT'S	N AY T S
NIGHTCAP	N AY T K AE P
NIGHTFALL	N AY T F AO L
NIGHTGOWN	N AY T G AW N
NIGHTINGALE	N AY T IH NG G EY L
NIGHTINGALES	N AY T AH N G EY L Z
NIGHTLY	N AY T L IY
NIGHTMARE	N AY T M EH R
NIGHTMARES	N AY T M EH R Z
NIGHTROBE	N AY T R OW B
NIGHTS	N AY T S
NIGHTY	N AY T IY
NIHAR	N IH AH R
NIHIL	N IH HH AH L
NIHILO	N IH HH AH L OW
NIL	N IH L
NILE	N AY L
NILSEN	N IH L S AH N
NIMBLE	N IH M B AH L
NIMBLER	N IH M B AH L ER
NIMBLY	N IH M B L IY
NIMSHI	N IH M SH IY
NINE	N AY N
NINETEEN	N AY N T IY N
NINETEENTH	N AY N T IY N TH
NINETIETH	N AY N T IY IH TH
NINETY	N AY N T IY
NINEVEH	N IH N AH V AH
NINIP	N IH N AH P
NINNIES	N IH N AY Z
NINON	N IH N AH N
NINTH	N AY N TH
NINTHS	N AY N TH S
NIP	N IH P
NIPISSINGS	N IH P IY Z IH NG Z
NIPPED	N IH P T
NIPPEWA	N IH P Y UW AH
NIPPON	N IH P AA N
NIPS	N IH P S
NISHTUN	N IH SH T AH N
NISI	N IH S IY
NISQUALLY	N IH S W AA L IY
NIVER	N AY V ER
NIXON	N IH K S AH N
NIZHNI	N IH Z HH N IY
NO	N OW
NOAH	N OW AH
NOAH'S	N OW AH Z
NOAN	N OW AH N
NOBBLER	N AA B L AH R
NOBBLERS	N AA B L AH R Z
NOBILITY	N OW B IH L AH T IY
NOBLE	N OW B AH L
NOBLEMAN	N OW B AH L M AH N
NOBLENESS	N OW B AH L N AH S
NOBLER	N OW B L ER
NOBLES	N OW B AH L Z
NOBLEST	N OW B L IH S T
NOBLY	N AA B L IY
NOBODIES	N OW B AA D IY Z
NOBODIES(2)	N OW B AH D IY Z
NOBODY	N OW B AA D IY
NOBODY'S	N OW B AA D IY Z
NOBODY'S(2)	N OW B AH D IY Z
NOBODY(2)	N OW B AH D IY
NOCTURNAL	N AA K T ER N AH L
NOCTURNES	N AA K T ER N Z
NOD	N AA D
NODDED	N AA D AH D
NODDED(2)	N AA D IH D
NODDING	N AA D IH NG
NODS	N AA D Z
NODULES	N AA JH UW L Z
NOHOW	N AA HH OW
NOIRTIER	N OY R T AY AH R
NOIRTIER'S	N OY R T IY R Z
NOISE	N OY Z
NOISED	N OY Z D
NOISELESS	N OY Z L AH S
NOISELESSLY	N OY Z L AH S L IY
NOISELESSNESS	N OY Z L AH S N AH S
NOISES	N OY Z IH Z
NOISIEST	N OY Z IY AH S T
NOISILY	N OY Z AH L IY
NOISOME	N OY S AH M
NOISY	N OY Z IY
NOKOMIS	N AA K AH M AH S
NOLAN	N OW L AH N
NOME	N OW M
NOMINAL	N AA M AH N AH L
NOMINALLY	N AA M AH N AH L IY
NOMINATE	N AA M AH N AH T
NOMINATE(2)	N AA M AH N EY T
NOMINATED	N AA M AH N EY T AH D
NOMINATING	N AA M AH N EY T IH NG
NOMINATION	N AA M AH N EY SH AH N
NOMINATIONS	N AA M AH N EY SH AH N Z
NON	N AA N
NONCE	N AA N S
NONCHALANCE	N AA N SH AH L AA N S
NONCHALANT	N AA N SH AH L AA N T
NONCHALANTLY	N AA N SH AH L AA N T L IY
NONE	N AH N
NONES	N AH N Z
NONPAREIL	N AA N P AH R IY L
NONSENSE	N AA N S EH N S
NOODLES	N UW D AH L Z
NOOK	N UH K
NOOKS	N UH K S
NOON	N UW N
NOONDAY	N UW N D EY
NOONTIDE	N UW N T AY D
NOONTIME	N UW N T AY M
NOOSE	N UW S
NOR	N AO R
NORA	N AO R AH
NORA'S	N AO R AH Z
NORAH	N AO R AH
NORFOLK	N AO R F AH K
NORHALA	N AO R AH L AH
NORHALA'S	N AO R AH L AH Z
NORMAL	N AO R M AH L
NORMALLY	N AO R M AH L IY
NORMALLY(2)	N AO R M L IY
NORMAN	N AO R M AH N
NORMANDY	N AO R M AH N D IY
NORSEMEN	N AO R S M IH N
NORTH	N AO R TH
NORTHANGER	N AO R TH AE NG G ER
NORTHCOTE	N AO R TH OW T
NORTHEAST	N AO R TH IY S T
NORTHEASTERLY	N AO R TH IY S T ER L IY
NORTHEASTERN	N AO R TH IY S T ER N
NORTHEASTWARD	N AO R TH IY S T W ER D
NORTHERLY	N AO R DH ER L IY
NORTHERN	N AO R DH ER N
NORTHERNMOST	N AO R DH ER N M OW S T
NORTHMEN	N AO R TH M EH N
NORTHMOST	N AO R TH M OW S T
NORTHUMBERLAND	N AO R TH AH M B ER L AE N D
NORTHWARD	N AO R TH W ER D
NORTHWARDS	N AO R TH W ER D Z
NORTHWEST	N AO R TH W EH S T
NORTHWESTERN	N AO R TH W EH S T ER N
NORTHWESTLAND	N AO R TH W EH S T L AE N D
NORTHWICK	N AO R TH W IH K
NORTHWICK'S	N AO R TH W IH K S
NORTHWICKS	N AO R TH W IH K S
NORTON	N AO R T AH N
NORWAY	N AO R W EY
NORWEGIAN	N AO R W IY JH AH N
NORWEGIANS	N AO R W IY JH AH N Z
NORWICH	N AO R W IH CH
NOSE	N OW Z
NOSED	N OW Z D
NOSEGAY	N OW Z G EY
NOSES	N OW Z IH Z
NOSING	N OW Z IH NG
NOSTER	N AA S T AH R
NOSTRIL	N AA S T R IH L
NOSTRILS	N AA S T R AH L Z
NOSY	N OW Z IY
NOT	N AA T
NOTABLE	N OW T AH B AH L
NOTABLES	N OW T AH B AH L Z
NOTABLY	N OW T AH B L IY
NOTARY	N OW T ER IY
NOTATION	N OW T EY SH AH N
NOTCH	N AA CH
NOTCHED	N AA CH T
NOTCHES	N AA CH AH Z
NOTCHES(2)	N AA CH IH Z
NOTE	N OW T
NOTEBOOK	N OW T B UH K
NOTED	N OW T AH D
NOTED(2)	N OW T IH D
NOTES	N OW T S
NOTEST	N OW T AH S T
NOTHER	N AH DH ER
NOTHIN	N AA TH IH N
NOTHIN'	N AH TH IH N
NOTHING	N AH TH IH NG
NOTHING'S	N AH TH IH NG Z
NOTHINGNESS	N AH TH IH NG N AH S
NOTHINGS	N AH TH IH NG Z
NOTICE	N OW T AH S
NOTICE(2)	N OW T IH S
NOTICEABLE	N OW T AH S AH B AH L
NOTICEABLY	N OW T IH S AH B L IY
NOTICED	N OW T IH S T
NOTICES	N OW T IH S IH Z
NOTICING	N OW T IH S IH NG
NOTIFIED	N OW T AH F AY D
NOTIFY	N OW T AH F AY
NOTING	N OW T IH NG
NOTION	N OW SH AH N
NOTION'S	N OW SH AH N Z
NOTIONS	N OW SH AH N Z
NOTORIETE	N AA T AH R IY T
NOTORIETY	N OW T ER AY AH T IY
NOTORIOUS	N OW T AO R IY AH S
NOTORIOUSLY	N OW T AO R IY AH S L IY
NOTS	N AA T S
NOTTINGHAM	N AA T IH NG HH AE M
NOTTINGHAMSHIRE	N AA T IH NG HH AE M SH AY ER
NOTWITHSTANDING	N AA T W IH TH S T AE N D IH NG
NOUGH	N UW
NOUGHT	N AO T
NOURISHED	N ER IH SH T
NOURISHES	N ER IH SH AH Z
NOURISHING	N ER IH SH IH NG
NOURISHMENT	N ER IH SH M AH N T
NOURON	N AH R AH N
NOVA	N OW V AH
NOVEL	N AA V AH L
NOVELIST	N AA V AH L AH S T
NOVELS	N AA V AH L Z
NOVELTIES	N AA V AH L T IY Z
NOVELTY	N AA V AH L T IY
NOVEMBER	N OW V EH M B ER
NOVICE	N AA V AH S
NOW	N AW
NOW'S	N AW Z
NOWADAYS	N AW AH D EY Z
NOWHERE	N OW W EH R
