<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
GLIBLY	1.0	G L IH B L IY
GLIDE	1.0	G L AY D
GLIDED	1.0	G L AY D IH D
GLIDING	1.0	G L AY D IH NG
GLIMMER	1.0	G L IH M ER
GLIMMERED	1.0	G L IH M ER D
GLIMMERING	1.0	G L IH M ER IH NG
GLIMMERS	1.0	G L IH M ER Z
GLIMPSE	1.0	G L IH M P S
GLIMPSED	1.0	G L IH M P S T
GLIMPSES	1.0	G L IH M P S IH Z
GLINT	1.0	G L IH N T
GLINTED	1.0	G L IH N T IH D
GLINTING	1.0	G L IH N T IH NG
GLINTS	1.0	G L IH N T S
GLISTEN	1.0	G L IH S AH N
GLISTENED	1.0	G L IH S AH N D
GLISTENING	1.0	G L IH S AH N IH NG
GLISTENING(2)	1.0	G L IH S N IH NG
GLITTER	1.0	G L IH T ER
GLITTERED	1.0	G L IH T ER D
GLITTERIN	1.0	G L IH T ER IH N
GLITTERING	1.0	G L IH T ER IH NG
GLITTERS	1.0	G L IH T ER Z
GLOAMING	1.0	G L OW M IH NG
GLOATING	1.0	G L OW T IH NG
GLOBE	1.0	G L OW B
GLOBES	1.0	G L OW B Z
GLOBULAR	1.0	G L AA B Y AH L ER
GLOBULES	1.0	G L AA B Y UW L Z
GLOMAX	1.0	G L AA M AE K S
GLOODY	1.0	G L UW D IY
GLOODY'S	1.0	G L UW D AH Z
GLOOM	1.0	G L UW M
GLOOMED	1.0	G L UW M D
GLOOMIER	1.0	G L UW M IY ER
GLOOMIEST	1.0	G L UW M IY AH S T
GLOOMILY	1.0	G L UW M AH L IY
GLOOMINESS	1.0	G L UW M IY N AH S
GLOOMY	1.0	G L UW M IY
GLORIA	1.0	G L AO R IY AH
GLORIED	1.0	G L OW R IY D
GLORIES	1.0	G L AO R IY Z
GLORIFICATION	1.0	G L AO R AH F IH K EY SH AH N
GLORIFICATION(2)	1.0	G L AO R IH F IH K EY SH AH N
GLORIFICATIONS	1.0	G L AO R AH F AH K EY T IY AH N Z
GLORIFIED	1.0	G L AO R AH F AY D
GLORIFY	1.0	G L AO R AH F AY
GLORIOUS	1.0	G L AO R IY AH S
GLORIOUSLY	1.0	G L AO R IY AH S L IY
GLORY	1.0	G L AO R IY
GLOSS	1.0	G L AO S
GLOSSARY	1.0	G L AO S ER IY
GLOSSED	1.0	G L AO S T
GLOSSES	1.0	G L AO S IH Z
GLOSSY	1.0	G L AO S IY
GLOUCESTER	1.0	G L AO S T ER
GLOUCESTERS	1.0	G L AW S EH S T AH R Z
GLOUCESTERSHIRE	1.0	G L AW S EH S T AH R SH AY R
GLOVE	1.0	G L AH V
GLOVED	1.0	G L AH V D
GLOVER	1.0	G L AH V ER
GLOVES	1.0	G L AH V Z
GLOW	1.0	G L OW
GLOWED	1.0	G L OW D
GLOWER	1.0	G L AW ER
GLOWERED	1.0	G L AW ER D
GLOWING	1.0	G L OW IH NG
GLOWS	1.0	G L OW Z
GLUE	1.0	G L UW
GLUED	1.0	G L UW D
GLUM	1.0	G L AH M
GLUTEN	1.0	G L UW T AH N
GLUTTON	1.0	G L AH T AH N
GNARLED	1.0	N AA R L D
GNASHED	1.0	N AE SH T
GNATS	1.0	N AE T S
GNAW	1.0	N AO
GNAWED	1.0	N AO D
GNAWING	1.0	N AO IH NG
GNOME	1.0	N OW M
GNOME'S	1.0	N OW M Z
GNOMES	1.0	N OW M Z
GO	1.0	G OW
GOAD	1.0	G OW D
GOADED	1.0	G OW D IH D
GOADING	1.0	G OW D IH NG
GOAL	1.0	G OW L
GOALS	1.0	G OW L Z
GOAT	1.0	G OW T
GOATS	1.0	G OW T S
GOBBLE	1.0	G AA B AH L
GOBBLED	1.0	G AA B AH L D
GOBBLER	1.0	G AA B AH L ER
GOBBLER(2)	1.0	G AA B L ER
GOBBLING	1.0	G AA B AH L IH NG
GOBBLING(2)	1.0	G AA B L IH NG
GOBIO	1.0	G OW B IY OW
GOBLET	1.0	G AA B L AH T
GOBLIN	1.0	G AA B L IH N
GOBLIN'S	1.0	G AA B L IH N Z
GOBLINS	1.0	G AA B L IH N Z
GOBY	1.0	G AA B IY
GOD	1.0	G AA D
GOD'S	1.0	G AA D Z
GODCHILD	1.0	G AA D CH AY L D
GODCHILDREN	1.0	G AA D CH IH L D R AH N
GODDARD	1.0	G AA D ER D
GODDARD'S	1.0	G AA D ER D Z
GODDAUGHTER	1.0	G AA D AO T ER
GODDESS	1.0	G AA D AH S
GODDESSES	1.0	G AA D AH S IH Z
GODERAN	1.0	G OW D IY R AE N
GODFATHER	1.0	G AA D F AA DH ER
GODLIKE	1.0	G AA D L AY K
GODLINESS	1.0	G AA D L IY N AH S
GODMOTHER	1.0	G AA D M AH DH ER
GODMOTHER'S	1.0	G AA D M AH DH ER Z
GODS	1.0	G AA D Z
GODSENDS	1.0	G AA D S EH N D Z
GODSON	1.0	G AA D S AH N
GODSON'S	1.0	G AA D S AH N Z
GOEREE	1.0	G OW ER IY
GOERS	1.0	G OW ER Z
GOERTZ	1.0	G AO R T S
GOES	1.0	G OW Z
GOEST	1.0	G OW AH S T
GOETH	1.0	G OW IH TH
GOGGLED	1.0	G AA G AH L D
GOGGLES	1.0	G AA G AH L Z
GOGOFFS	1.0	G AA G AH F S
GOIN	1.0	G OY N
GOIN'S	1.0	G OY N Z
GOING	1.0	G OW IH NG
GOING(2)	1.0	G OW IH N
GOINGS	1.0	G OW IH NG Z
GOITRE	1.0	G OY T ER
GOLCONDA	1.0	G AA L K AA N D AH
GOLD	1.0	G OW L D
GOLDEN	1.0	G OW L D AH N
GOLDENNESS	1.0	G OW L D AH N AH S
GOLDENRODS	1.0	G OW L D AH N R AA D Z
GOLDFIELDS	1.0	G OW L D F IY L D Z
GOLDS	1.0	G OW L D Z
GOLDSBOROUGH	1.0	G OW L D Z B ER OW
GOLDSMITH'S	1.0	G OW L D S M IH TH S
GOLDWASSER	1.0	G OW L D W AO S ER
GOLF	1.0	G AA L F
GOLF(2)	1.0	G AO L F
GOLFING	1.0	G AA L F IH NG
GOLFING(2)	1.0	G AO L F IH NG
GOLGOTHA	1.0	G OW L G AH TH AH
GOLIAR	1.0	G OW L IY ER
GOLLY	1.0	G AA L IY
GOLOVIN	1.0	G AA L AH V AH N
GOMEZ	1.0	G OW M EH Z
GONDOLAS	1.0	G AA N D AH L AH Z
GONDOLAS(2)	1.0	G AA N D OW L AH Z
GONDS	1.0	G AA N D Z
GONE	1.0	G AO N
GONGS	1.0	G AO NG Z
GOO	1.0	G UW
GOOCH	1.0	G UW CH
GOOD	1.0	G UH D
GOOD(2)	1.0	G IH D
GOODBYE	1.0	G UH D B AY
GOODHART	1.0	G UH D HH AA R T
GOODLY	1.0	G UH D L IY
GOODNESS	1.0	G UH D N AH S
GOODNESS(2)	1.0	G UH D N IH S
GOODNESSE	1.0	G UW D N AH S
GOODS	1.0	G UH D Z
GOODWIFE	1.0	G UH D W AY F
GOODWILL	1.0	G UH D W IH L
GOODWIN	1.0	G UH D W IH N
GOODWOOD	1.0	G UH D W UH D
GOODWOOD'S	1.0	G UH D W UH D Z
GOODY	1.0	G UH D IY
GOONIES	1.0	G OW AO N IY Z
GOOSE	1.0	G UW S
GOOSE'S	1.0	G UW S IX Z
GOOSEBERRY	1.0	G UW S B EH R IY
GOOSEFOOT	1.0	G UW S F UH T
GOPHER	1.0	G OW F ER
GORDON	1.0	G AO R D AH N
GORE	1.0	G AO R
GORFINKEL	1.0	G AO R F IH NG K AH L
GORGE	1.0	G AO R JH
GORGED	1.0	G AO R JH D
GORGEOUS	1.0	G AO R JH AH S
GORGEOUSLY	1.0	G AO R JH AH S L IY
GORGES	1.0	G AO R JH AH Z
GORGES(2)	1.0	G AO R JH IH Z
GORGETS	1.0	G AO R G AH T S
GORGON	1.0	G AO R G AH N
GORILLA	1.0	G ER IH L AH
GORMANDISERS	1.0	G AO R M AE N D AH S AH R Z
GORMANS	1.0	G AO R M AH N Z
GORSE	1.0	G AO R S
GOSHEN	1.0	G OW SH IH N
GOSHENITES	1.0	G AA SH AH N AY T S
GOSLIN'S	1.0	G AA S L IH N Z
GOSLINGS	1.0	G OW S L IH NG Z
GOSPEL	1.0	G AA S P AH L
GOSPEL(2)	1.0	G AO S P AH L
GOSPELS	1.0	G AA S P AH L Z
GOSSAMER	1.0	G AA S AH M ER
GOSSIP	1.0	G AA S AH P
GOSSIPING	1.0	G AA S AH P IH NG
GOSSIPS	1.0	G AA S AH P S
GOT	1.0	G AA T
GOTHIC	1.0	G AA TH IH K
GOTHS	1.0	G OW TH S
GOTTEN	1.0	G AA T AH N
GOTTEN(2)	1.0	G AO T AH N
GOUGED	1.0	G AW JH D
GOUGES	1.0	G AW JH IH Z
GOURD	1.0	G AO R D
GOUT	1.0	G AW T
GOUTY	1.0	G AW T IY
GOV'MENT	1.0	G AA V M AH N T
GOV'NOR	1.0	G AA V N AH R
GOVERN	1.0	G AH V ER N
GOVERN'D	1.0	G AH V ER N D
GOVERNANCE	1.0	G AH V ER N AH N S
GOVERNED	1.0	G AH V ER N D
GOVERNESS	1.0	G AH V ER N AH S
GOVERNESSES	1.0	G AH V ER N AH S IH Z
GOVERNING	1.0	G AH V ER N IH NG
GOVERNMENT	1.0	G AH V ER N M AH N T
GOVERNMENT'S	1.0	G AH V ER N M AH N T S
GOVERNMENTAL	1.0	G AH V ER M EH N T AH L
GOVERNMENTAL(2)	1.0	G AH V ER N M EH N T AH L
GOVERNMENTALISM	1.0	G AH V ER N M EH N T AH L IH Z AH M
GOVERNMENTALIST	1.0	G AH V ER N M EH N T AH L IH S T
GOVERNMENTS	1.0	G AH V ER N M AH N T S
GOVERNOR	1.0	G AH V ER N ER
GOVERNORS	1.0	G AH V ER N ER Z
GOVERNS	1.0	G AH V ER N Z
GOWER	1.0	G AW ER
GOWERS	1.0	G OW AH R Z
GOWN	1.0	G AW N
GOWNS	1.0	G AW N Z
GRAB	1.0	G R AE B
GRABBED	1.0	G R AE B D
GRABBING	1.0	G R AE B IH NG
GRACE	1.0	G R EY S
GRACE'S	1.0	G R EY S IH Z
GRACED	1.0	G R EY S T
GRACEFUL	1.0	G R EY S F AH L
GRACEFULLY	1.0	G R EY S F AH L IY
GRACES	1.0	G R EY S IH Z
GRACIOUS	1.0	G R EY SH AH S
GRACIOUSLY	1.0	G R EY SH AH S L IY
GRACIOUSNESS	1.0	G R EY SH AH S N AH S
GRADATION	1.0	G R EY D EY SH AH N
GRADATIONS	1.0	G R EY D EY SH AH N Z
GRADE	1.0	G R EY D
GRADED	1.0	G R EY D AH D
GRADED(2)	1.0	G R EY D IH D
GRADES	1.0	G R EY D Z
GRADUAL	1.0	G R AE JH UW AH L
GRADUALLY	1.0	G R AE JH UW AH L IY
GRADUALLY(2)	1.0	G R AE JH UW L IY
GRADUATE	1.0	G R AE JH AH W AH T
GRADUATE(2)	1.0	G R AE JH AH W EY T
GRADUATE(3)	1.0	G R AE JH UW W AH T
GRADUATE(4)	1.0	G R AE JH UW EY T
GRADUATED	1.0	G R AE JH UW EY T IH D
GRADUATED(2)	1.0	G R AE JH AH W EY T IH D
GRADUATES	1.0	G R AE JH AH W AH T S
GRADUATES(2)	1.0	G R AE JH AH W EY T S
GRADUATES(3)	1.0	G R AE JH UW W AH T S
GRADUATES(4)	1.0	G R AE JH UW EY T S
GRADUATING	1.0	G R AE JH AH W EY T IH NG
GRADUATING(2)	1.0	G R AE JH UW EY T IH NG
GRADUATION	1.0	G R AE JH UW EY SH AH N
GRADUATION(2)	1.0	G R AE JH AH W EY SH AH N
GRADUS	1.0	G R EY D AH S
GRAEUBEN	1.0	G R IY UW B AH N
GRAF	1.0	G R AE F
GRAFT	1.0	G R AE F T
GRAFTED	1.0	G R AE F T IH D
GRAFTER	1.0	G R AE F T ER
GRAFTIN	1.0	G R AE F T IH N
GRAFTON	1.0	G R AE F T AH N
GRAHAM	1.0	G R EY AH M
GRAHAM'S	1.0	G R EY AH M Z
GRAHAM'S(2)	1.0	G R AE M Z
GRAHAM(2)	1.0	G R AE M
GRAHAME	1.0	G R AH HH EY M
GRAIN	1.0	G R EY N
GRAINED	1.0	G R EY N D
GRAINING	1.0	G R EY N IH NG
GRAINS	1.0	G R EY N Z
GRAM	1.0	G R AE M
GRAMMAR	1.0	G R AE M ER
GRAMMATICAL	1.0	G R AH M AE T AH K AH L
GRAMMATICAL(2)	1.0	G R AH M AE T IH K AH L
GRAMMATICUS	1.0	G R AE M AH T IH S AH S
GRAMMONT	1.0	G R AE M AH N T
GRAMMONT'S	1.0	G R AE M AH N T S
GRANARY	1.0	G R EY N AH R IY
GRAND	1.0	G R AE N D
GRAND'THER	1.0	G R AE N D AH R
GRAND'THER'S	1.0	G R AE N D TH AH R Z
GRANDADDY	1.0	G R AE N D AE D IY
GRANDCHILD	1.0	G R AE N D CH AY L D
GRANDCHILD(2)	1.0	G R AE N CH AY L D
GRANDCHILDREN	1.0	G R AE N CH IH L D R AH N
GRANDCHILDREN(2)	1.0	G R AE N D CH IH L D R AH N
GRANDCOURT	1.0	G R AE N D K OW R T
GRANDCOURT'S	1.0	G R AE N D K OW R T S
GRANDDAUGHTER	1.0	G R AE N D AO T ER
GRANDE	1.0	G R AE N D
GRANDEES	1.0	G R AE N D IY Z
GRANDER	1.0	G R AE N D ER
GRANDEST	1.0	G R AE N D AH S T
GRANDEUR	1.0	G R AE N D UW R
GRANDFATHER	1.0	G R AE N D F AA DH ER
GRANDFATHER'S	1.0	G R AE N D F AA DH ER Z
GRANDFATHER'S(2)	1.0	G R AE N F AA DH ER Z
GRANDFATHER(2)	1.0	G R AE N F AA DH ER
GRANDFATHERS	1.0	G R AE N D F AA DH ER Z
GRANDFATHERS(2)	1.0	G R AE N F AA DH ER Z
GRANDIFLORUM	1.0	G R AE N D IH F L AH R AH M
GRANDILOQUENT	1.0	G R AE N D IH L AH K W AH N T
GRANDISON	1.0	G R AE N D IH S AH N
GRANDISSIMO	1.0	G R AE N D IH S AH M OW
GRANDLY	1.0	G R AE N D L IY
GRANDMA	1.0	G R AE N D M AA
GRANDMA'S	1.0	G R AE N D M AA Z
GRANDMOTHER	1.0	G R AE N D M AH DH ER
GRANDMOTHER'S	1.0	G R AE N D M AH DH ER Z
GRANDMOTHERS	1.0	G R AE N D M AH DH ER Z
GRANDPA	1.0	G R AE N D P AA
GRANDPAPA	1.0	G R AE N D P AA P AH
GRANDSIRE	1.0	G R AE N D S AY ER
GRANDSIRES	1.0	G R AE N D S AY ER Z
GRANDSON	1.0	G R AE N D S AH N
GRANDSONS	1.0	G R AE N D S AH N Z
GRANITE	1.0	G R AE N IH T
GRANITIC	1.0	G R AH N IH T IH K
GRANNIE	1.0	G R AE N AY
GRANT	1.0	G R AE N T
GRANT'S	1.0	G R AE N T S
GRANTED	1.0	G R AE N T AH D
GRANTED(2)	1.0	G R AE N T IH D
GRANTED(3)	1.0	G R AE N AH D
GRANTED(4)	1.0	G R AE N IH D
GRANTING	1.0	G R AE N T IH NG
GRANTING(2)	1.0	G R AE N IH NG
GRANTLINE	1.0	G R AE N T L AY N
GRANTLINE'S	1.0	G R AE N T L AY N Z
GRANTLY	1.0	G R AE N T L IY
GRANTS	1.0	G R AE N T S
GRANULATORS	1.0	G R AE N Y UW L AH T ER Z
GRAPE	1.0	G R EY P
GRAPES	1.0	G R EY P S
GRAPEVINES	1.0	G R EY P V AY N Z
GRAPPLE	1.0	G R AE P AH L
GRAPPLED	1.0	G R AE P AH L D
GRAPPLING	1.0	G R AE P L IH NG
GRAPPLING(2)	1.0	G R AE P AH L IH NG
GRASP	1.0	G R AE S P
GRASP'D	1.0	G R AE S P D
GRASPED	1.0	G R AE S P T
GRASPING	1.0	G R AE S P IH NG
GRASPS	1.0	G R AE S P S
GRASS	1.0	G R AE S
GRASSE	1.0	G R AE S
GRASSES	1.0	G R AE S AH Z
GRASSES(2)	1.0	G R AE S IH Z
GRASSHOPPER	1.0	G R AE S HH AA P ER
GRASSHOPPERING	1.0	G R AE S HH AA P ER IH NG
GRASSHOPPERS	1.0	G R AE S HH AA P ER Z
GRASSLESS	1.0	G R AE S L AH S
GRASSY	1.0	G R AE S IY
GRATE	1.0	G R EY T
GRATED	1.0	G R EY T IH D
GRATEFUL	1.0	G R EY T F AH L
GRATEFULLY	1.0	G R EY T F AH L IY
GRATES	1.0	G R EY T S
GRATH	1.0	G R AE TH
GRATIFICATION	1.0	G R AE T AH F AH K EY SH AH N
GRATIFICATIONS	1.0	G R AE T AH F AH K EY SH AH N Z
GRATIFIED	1.0	G R AE T AH F AY D
GRATIFIERS	1.0	G R AE T AH F AY ER Z
GRATIFIES	1.0	G R AE T AH F AY Z
GRATIFY	1.0	G R AE T AH F AY
GRATIFYING	1.0	G R AE T AH F AY IH NG
GRATING	1.0	G R EY T IH NG
GRATINGS	1.0	G R EY T IH NG Z
GRATIS	1.0	G R AE T AH S
GRATITUDE	1.0	G R AE T AH T UW D
GRATUITOUS	1.0	G R AH T UW AH T AH S
GRAVE	1.0	G R EY V
GRAVEL	1.0	G R AE V AH L
GRAVELLED	1.0	G R AE V AH L D
GRAVELLING	1.0	G R AE V AH L IH NG
GRAVELLY	1.0	G R AE V AH L IY
GRAVELY	1.0	G R EY V L IY
GRAVEN	1.0	G R EY V AH N
GRAVER	1.0	G R EY V ER
GRAVES	1.0	G R EY V Z
GRAVESEND	1.0	G R EY V S EH N D
GRAVEST	1.0	G R AE V AH S T
GRAVEYARD	1.0	G R EY V Y AA R D
GRAVEYARDS	1.0	G R EY V Y AA R D Z
GRAVILLIERS	1.0	G R AE V AH L IY R Z
GRAVITATING	1.0	G R AE V IH T EY T IH NG
GRAVITATION	1.0	G R AE V IH T EY SH AH N
GRAVITY	1.0	G R AE V AH T IY
GRAVITY(2)	1.0	G R AE V IH T IY
GRAVY	1.0	G R EY V IY
GRAY	1.0	G R EY
GRAY'S	1.0	G R EY Z
GRAYISH	1.0	G R EY IH SH
GRAYNESS	1.0	G R EY N AH S
GRAZE	1.0	G R EY Z
GRAZED	1.0	G R EY Z D
GRAZING	1.0	G R EY Z IH NG
GREASE	1.0	G R IY S
GREASING	1.0	G R IY S IH NG
GREASY	1.0	G R IY S IY
GREAT	1.0	G R EY T
GREATER	1.0	G R EY T ER
GREATEST	1.0	G R EY T AH S T
GREATGRANDSONS	1.0	G R EY T G R AE N D S AH N Z
GREATLY	1.0	G R EY T L IY
GREATNESS	1.0	G R EY T N AH S
GRECIAN	1.0	G R IY SH AH N
GREECE	1.0	G R IY S
GREED	1.0	G R IY D
GREEDILY	1.0	G R IY D AH L IY
GREEDY	1.0	G R IY D IY
GREEK	1.0	G R IY K
GREEKS	1.0	G R IY K S
GREEN	1.0	G R IY N
GREEN'S	1.0	G R IY N Z
GREENE	1.0	G R IY N
GREENE'S	1.0	G R IY N Z
GREENED	1.0	G R IY N D
GREENGROCER	1.0	G R IY N G R OW S ER
GREENISH	1.0	G R IY N IH SH
GREENLAND	1.0	G R IY N L AH N D
GREENLAND(2)	1.0	G R IY N L AE N D
GREENLANDER	1.0	G R IY N L AE N D ER
GREENLANDERS	1.0	G R IY N L AE N D ER Z
GREENNESS	1.0	G R IY N N AH S
GREENS	1.0	G R IY N Z
GREENSTONE	1.0	G R IY N S T OW N
GREENSWARD	1.0	G R IY N S W AO R D
GREENWAY	1.0	G R IY N W EY
GREET	1.0	G R IY T
GREETED	1.0	G R IY T AH D
GREETED(2)	1.0	G R IY T IH D
GREETING	1.0	G R IY T IH NG
GREETINGS	1.0	G R IY T IH NG Z
GREGARIOUS	1.0	G R AH G EH R IY AH S
GREGG	1.0	G R EH G
GREGGORY	1.0	G R EH G AH R IY
GREGGORY'S	1.0	G R EH G AH R AH Z
GREGORIAN	1.0	G R AH G AO R IY AH N
GREGORY	1.0	G R EH G ER IY
GRENA	1.0	G R EH N AH
GRENADA	1.0	G R IH N EY D AH
GRENADA(2)	1.0	G R IH N AA D AH
GRENADE	1.0	G R AH N EY D
GRENADES	1.0	G R AH N EY D Z
GRENADIER	1.0	G R AH N EY D IY ER
GRENADIERS	1.0	G R AH N EY D IY ER Z
GRENETTE	1.0	G R IY N EH T
GRENVILLE	1.0	G R EH N V AH L
GRESHAM	1.0	G R EH SH AH M
GREW	1.0	G R UW
GREWSOME	1.0	G R UW S AH M
GREY	1.0	G R EY
GREYING	1.0	G R EY IH NG
GREYISH	1.0	G R EY IH SH
GREYLY	1.0	G R EY L IY
GREYS	1.0	G R EY Z
GREYSTONE	1.0	G R EY S T OW N
GRIDDLE	1.0	G R IH D AH L
GRIDLEY	1.0	G R IH D L IY
GRIDNEVA	1.0	G R IH D N AH V AH
GRIEF	1.0	G R IY F
GRIEFS	1.0	G R IY F S
GRIEVANCE	1.0	G R IY V AH N S
GRIEVANCES	1.0	G R IY V AH N S AH Z
GRIEVANCES(2)	1.0	G R IY V AH N S IH Z
GRIEVE	1.0	G R IY V
GRIEVED	1.0	G R IY V D
GRIEVOUS	1.0	G R IY V AH S
GRIEVOUSLY	1.0	G R IY V AH S L IY
GRIFFIN	1.0	G R IH F IH N
GRIFFITH	1.0	G R IH F AH TH
GRIFFITH'S	1.0	G R IH F IH TH S
GRIFFITH(2)	1.0	G R IH F IH TH
GRIG	1.0	G R IH G
GRILL	1.0	G R IH L
GRILLED	1.0	G R IH L D
GRIM	1.0	G R IH M
GRIMACE	1.0	G R IH M AH S
GRIMACER	1.0	G R IH M AH S ER
GRIMACES	1.0	G R IH M AH S IH Z
GRIMACING	1.0	G R IH M AH S IH NG
GRIME	1.0	G R AY M
GRIMES	1.0	G R AY M Z
GRIMLY	1.0	G R IH M L IY
GRIMNESS	1.0	G R IH M N AH S
GRIMSHAW	1.0	G R IH M SH AO
GRIMSHAW'S	1.0	G R IH M SH AO Z
GRIMY	1.0	G R AY M IY
GRIN	1.0	G R IH N
GRINDING	1.0	G R AY N D IH NG
GRINDS	1.0	G R AY N D Z
GRINNED	1.0	G R IH N D
GRINNING	1.0	G R IH N IH NG
GRIP	1.0	G R IH P
GRIPE	1.0	G R AY P
GRIPES	1.0	G R AY P S
GRIPPED	1.0	G R IH P T
GRIPPING	1.0	G R IH P IH NG
GRISELDA	1.0	G R AH S EH L D AH
GRISETTES	1.0	G R AY Z EH T S
GRIST	1.0	G R IH S T
GRIT	1.0	G R IH T
GRITTED	1.0	G R IH T IH D
GRITTY	1.0	G R IH T IY
GRIZZLED	1.0	G R IH Z AH L D
GRIZZLY	1.0	G R IH Z L IY
GROAC'H	1.0	G R OW K
GROAN	1.0	G R OW N
GROANED	1.0	G R OW N D
GROANING	1.0	G R OW N IH NG
GROANS	1.0	G R OW N Z
GROAT	1.0	G R OW T
GROCER	1.0	G R OW S ER
GROCER'S	1.0	G R OW S ER Z
GROCERS	1.0	G R OW S ER Z
GROCERY	1.0	G R OW S ER IY
GROCERY(2)	1.0	G R OW S R IY
GROG	1.0	G R AA G
GROGAN	1.0	G R OW G AH N
GROIN	1.0	G R OY N
GROOM	1.0	G R UW M
GROOMED	1.0	G R UW M D
GROOMING	1.0	G R UW M IH NG
GROOMS	1.0	G R UW M Z
GROOVE	1.0	G R UW V
GROOVES	1.0	G R UW V Z
GROPE	1.0	G R OW P
GROPED	1.0	G R OW P T
GROPING	1.0	G R OW P IH NG
GROS	1.0	G R OW S
GROSBEAK	1.0	G R OW S B IY K
GROSBEAKS	1.0	G R OW S B IY K S
GROSS	1.0	G R OW S
GROSSER	1.0	G R OW S ER
GROSSLY	1.0	G R OW S L IY
GROSSNESS	1.0	G R OW S N AH S
GROTAUT	1.0	G R AA T AH T
GROTE	1.0	G R OW T
GROTESQUE	1.0	G R OW T EH S K
GROTESQUELY	1.0	G R OW T EH S K L IY
GROTESQUERIE	1.0	G R OW T EH S K ER IY
GROTESQUES	1.0	G R OW T EH S K S
GROTTO	1.0	G R AA T OW
GROTTO'S	1.0	G R AA T OW Z
GROTTOES	1.0	G R AA T OW Z
GROUND	1.0	G R AW N D
GROUNDED	1.0	G R AW N D IH D
GROUNDLESS	1.0	G R AW N D L AH S
GROUNDS	1.0	G R AW N D Z
GROUNDS(2)	1.0	G R AW N Z
GROUP	1.0	G R UW P
GROUPED	1.0	G R UW P T
GROUPING	1.0	G R UW P IH NG
GROUPINGS	1.0	G R UW P IH NG Z
GROUPS	1.0	G R UW P S
GROUSE	1.0	G R AW S
GROVE	1.0	G R OW V
GROVEL	1.0	G R AA V AH L
GROVELLED	1.0	G R AA V AH L D
GROVELLING	1.0	G R AA V AH L IH NG
GROVER	1.0	G R OW V ER
GROVES	1.0	G R OW V Z
GROW	1.0	G R OW
GROWING	1.0	G R OW IH NG
GROWL	1.0	G R AW L
GROWLED	1.0	G R AW L D
GROWLING	1.0	G R OW L IH NG
GROWLINGS	1.0	G R OW L IH NG Z
GROWLS	1.0	G R AW L Z
GROWN	1.0	G R OW N
GROWS	1.0	G R OW Z
GROWTH	1.0	G R OW TH
GROWTHS	1.0	G R OW TH S
GROZNOE	1.0	G R AA Z N OW
GRUBE'S	1.0	G R UW B Z
GRUDGE	1.0	G R AH JH
GRUDGED	1.0	G R AH JH D
GRUDGING	1.0	G R AH JH IH NG
GRUEL	1.0	G R UW IH L
GRUFF	1.0	G R AH F
GRUFFEST	1.0	G R AH F AH S T
GRUFFLY	1.0	G R AH F L IY
GRUM	1.0	G R AH M
GRUMBLE	1.0	G R AH M B AH L
GRUMBLED	1.0	G R AH M B AH L D
GRUMBLING	1.0	G R AH M B AH L IH NG
GRUMBLING(2)	1.0	G R AH M B L IH NG
GRUMBLINGLY	1.0	G R AH M B AH L IH NG L IY
GRUMPY	1.0	G R AH M P IY
GRUNDY	1.0	G R AH N D IY
GRUNT	1.0	G R AH N T
GRUNTED	1.0	G R AH N T IH D
GRUNTING	1.0	G R AH N T IH NG
GRUNTS	1.0	G R AH N T S
GRUYERE	1.0	G R UW W AY AH R
GUALTEROTTI	1.0	G Y UW AE L T AH R AA T IY
GUANACO	1.0	G W AH N AA K OW
GUANACOS	1.0	G Y UW AE N AH K AH Z
GUARANTEE	1.0	G EH R AH N T IY
GUARANTEED	1.0	G EH R AH N T IY D
GUARANTEEING	1.0	G EH R AH N T IY IH NG
GUARANTEES	1.0	G EH R AH N T IY Z
GUARANTIED	1.0	G AE R AH N T IY D
GUARD	1.0	G AA R D
GUARD'S	1.0	G AA R D Z
GUARDED	1.0	G AA R D AH D
GUARDED(2)	1.0	G AA R D IH D
GUARDIAN	1.0	G AA R D IY AH N
GUARDIANSHIP	1.0	G AA R D IY AH N SH IH P
GUARDING	1.0	G AA R D IH NG
GUARDS	1.0	G AA R D Z
GUARDSMAN	1.0	G AA R D Z M AE N
GUARDSMAN(2)	1.0	G AA R D Z M AH N
GUARDSMEN	1.0	G AA R D Z M IH N
GUASIMAS	1.0	G Y UW AE S AH M AH Z
GUAVA	1.0	G W AA V AH
GUB	1.0	G AH B
GUDGEON	1.0	G AH JH AH N
GUDRID	1.0	G AH D R AH D
GUELEMER	1.0	G Y UW AH L IY M AH R
GUENEVER	1.0	G Y UW AH N IY V AH R
GUERNSEY	1.0	G ER N Z IY
GUESS	1.0	G EH S
GUESSED	1.0	G EH S T
GUESSES	1.0	G EH S IH Z
GUESSING	1.0	G EH S IH NG
GUESSWORK	1.0	G EH S W ER K
GUEST	1.0	G EH S T
GUESTS	1.0	G EH S T S
GUESTWICK	1.0	G EH S T W IH K
GUIDANCE	1.0	G AY D AH N S
GUIDE	1.0	G AY D
GUIDED	1.0	G AY D AH D
GUIDED(2)	1.0	G AY D IH D
GUIDEPOSTS	1.0	G AY D P OW S T S
GUIDES	1.0	G AY D Z
GUIDING	1.0	G AY D IH NG
GUIDO	1.0	G W IY D OW
GUIENNE	1.0	G UW AH N
